Geneid	A8_sensitive_sorted.bam	A9_sensitive_sorted.bam	A10_sensitive_sorted.bam	A11_sensitive_sorted.bam	A12_resistant_sorted.bam	A13_resistant_sorted.bam	A14_resistant_sorted.bam	A15_resistant_sorted.bam
transcript:EMLSAT00000000178	1336	747	1596	1655	1416	1293	1135	1609
transcript:EMLSAT00000000160	8674	5473	10371	8307	9160	6982	6740	7088
transcript:EMLSAT00000000161	4715	3941	4326	4379	4453	4097	3636	3755
transcript:EMLSAT00000000162	138	132	202	180	188	206	195	132
transcript:EMLSAT00000000163	393	369	571	436	467	471	382	440
transcript:EMLSAT00000000164	889	752	705	486	789	460	562	531
transcript:EMLSAT00000000165	5751	6188	6953	8082	8968	7796	7407	7805
transcript:EMLSAT00000000166	2053	2098	1987	2075	2064	1996	1956	1812
transcript:EMLSAT00000000167	603	510	582	474	574	496	422	372
transcript:EMLSAT00000000168	892	923	830	786	698	948	755	740
transcript:EMLSAT00000000169	2127	1690	1884	1826	1815	1707	1690	1641
transcript:EMLSAT00000000180	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000181	698	546	922	1104	1002	942	827	891
transcript:EMLSAT00000000179	9	0	1	3	6	17	2	2
transcript:EMLSAT00000000182	0	0	4	10	11	4	0	4
transcript:EMLSAT00000000183	175292	128353	200702	200536	248018	209897	181724	173023
transcript:EMLSAT00000000184	358	210	404	288	443	486	312	346
transcript:EMLSAT00000000185	2345	1593	3758	3638	3176	4063	2978	3019
transcript:EMLSAT00000000198	15	8	13	16	36	37	25	36
transcript:EMLSAT00000000199	1116	968	882	1140	1701	1029	1089	1661
transcript:EMLSAT00000000200	2054	2073	2245	2207	2178	2516	1993	2435
transcript:EMLSAT00000000201	7005	6565	7375	6342	8358	6821	5733	7882
transcript:EMLSAT00000000187	1519	1298	1640	1507	1730	1504	1294	1503
transcript:EMLSAT00000000188	285	345	271	191	305	329	264	261
transcript:EMLSAT00000000189	334	199	302	270	268	242	232	204
transcript:EMLSAT00000000190	4	2	27	2	2	0	4	6
transcript:EMLSAT00000000191	3091	4098	4763	3628	4031	3802	3544	3387
transcript:EMLSAT00000000192	2358	2098	2851	2659	3601	1995	2396	2733
transcript:EMLSAT00000000193	2179	1920	2681	2509	3409	1876	2293	2617
transcript:EMLSAT00000000194	4518	4213	4067	3644	4855	4013	3758	4223
transcript:EMLSAT00000000195	3520	2855	4527	4294	4859	4281	4010	4257
transcript:EMLSAT00000000196	3947	4065	3162	3374	3467	3946	2991	3667
transcript:EMLSAT00000000197	2944	2309	2959	2890	2805	2871	2468	2975
transcript:EMLSAT00000000186	0	0	0	0	6	0	7	6
transcript:EMLSAT00000000263	6	0	0	0	2	6	0	0
transcript:EMLSAT00000000264	31490	17852	24952	28437	24935	19683	19274	23204
transcript:EMLSAT00000000265	377	293	414	296	423	514	457	388
transcript:EMLSAT00000000257	5189	4079	5764	5210	6410	5405	4763	4916
transcript:EMLSAT00000000258	2662	2039	3159	2699	3303	2656	2459	2316
transcript:EMLSAT00000000259	541	435	456	398	553	512	408	428
transcript:EMLSAT00000000260	2310	1777	3075	3116	2712	3270	2841	2505
transcript:ENSRNA022738475-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000261	3458	4232	4461	5695	4044	5324	4801	4582
transcript:EMLSAT00000000262	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000213	4	0	0	2	0	0	0	0
transcript:EMLSAT00000000214	442	518	715	604	588	560	559	428
transcript:EMLSAT00000000219	26	32	10	41	23	23	14	23
transcript:EMLSAT00000000222	946	741	962	743	734	660	609	675
transcript:EMLSAT00000000223	897	1191	778	727	614	831	481	723
transcript:EMLSAT00000000224	2327	1561	2460	1046	1530	1538	1059	1029
transcript:EMLSAT00000000225	3198	2868	3210	2940	3631	3072	2533	2892
transcript:EMLSAT00000000226	2659	2200	2920	2679	3363	2818	2342	2769
transcript:EMLSAT00000000227	1244	1006	1193	968	1260	1054	978	1147
transcript:EMLSAT00000000228	378	425	446	362	557	391	352	431
transcript:EMLSAT00000000229	14966	14253	13349	11837	13313	14087	11634	11938
transcript:EMLSAT00000000230	14227	13313	12699	11412	12770	13503	11154	11412
transcript:EMLSAT00000000231	757	720	819	813	833	859	711	869
transcript:EMLSAT00000000232	3141	2769	3982	4861	3375	4764	3768	4109
transcript:EMLSAT00000000233	7831	5393	9142	8788	9796	8406	7678	8442
transcript:EMLSAT00000000234	3879	2907	4745	4863	4453	4748	3984	3900
transcript:EMLSAT00000000235	2278	1850	2477	2610	2812	2341	2353	2394
transcript:EMLSAT00000000236	2972	2458	3770	3271	3733	3410	2871	3479
transcript:EMLSAT00000000215	1	4	11	12	10	7	0	6
transcript:EMLSAT00000000216	391	362	356	335	605	507	461	415
transcript:EMLSAT00000000217	837	612	923	812	956	813	871	497
transcript:EMLSAT00000000218	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000220	1468	1239	1421	1000	901	1434	984	1445
transcript:EMLSAT00000000221	14	7	8	7	2	20	13	18
transcript:EMLSAT00000000237	466	428	737	599	224	523	379	381
transcript:EMLSAT00000000240	14	19	27	31	18	22	17	8
transcript:EMLSAT00000000239	18	13	4	18	3	28	6	15
transcript:EMLSAT00000000238	58	38	78	81	61	50	45	68
transcript:EMLSAT00000000242	207	112	193	177	126	200	100	164
transcript:EMLSAT00000000241	14	5	8	13	8	18	6	12
transcript:EMLSAT00000000244	2861	2785	4085	3613	3016	4075	4449	3539
transcript:EMLSAT00000000245	6	14	6	2	2	8	6	0
transcript:EMLSAT00000000246	0	0	1	2	0	3	0	1
transcript:EMLSAT00000000247	1184	890	1439	1415	1522	1391	1352	1322
transcript:EMLSAT00000000248	3915	2882	4695	4284	4813	4683	3916	4512
transcript:EMLSAT00000000249	12922	9451	14436	14049	14925	13108	12202	13439
transcript:EMLSAT00000000250	4638	3640	3472	4487	4269	5040	4453	4350
transcript:EMLSAT00000000243	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000252	3450	3492	3884	2714	4271	2974	3222	4164
transcript:EMLSAT00000000255	4013	3590	3399	3640	3409	3625	3124	2917
transcript:EMLSAT00000000251	24	11	28	34	22	5	28	22
transcript:EMLSAT00000000253	0	0	0	0	4	0	0	0
transcript:EMLSAT00000000254	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000256	22	45	74	68	84	104	238	194
transcript:EMLSAT00000000329	837	897	976	777	739	628	683	584
transcript:EMLSAT00000000325	2	0	0	0	4	0	0	4
transcript:EMLSAT00000000326	11	0	22	31	39	26	28	33
transcript:EMLSAT00000000327	16057	15798	13951	14548	20121	15659	15245	14544
transcript:EMLSAT00000000352	8	2	24	24	25	11	29	37
transcript:EMLSAT00000000328	36	43	71	60	82	70	55	67
transcript:EMLSAT00000000330	24036	23180	30270	19504	35663	24067	21559	26174
transcript:EMLSAT00000000331	1645	1237	1942	1729	2235	2142	1569	2158
transcript:EMLSAT00000000332	1569	2017	1534	1125	1808	1862	1481	1965
transcript:EMLSAT00000000333	19519	18785	25500	15562	30265	18886	17442	20705
transcript:EMLSAT00000000334	6704	6634	5089	3793	5594	4688	3884	4212
transcript:EMLSAT00000000335	1135	826	1437	1701	1373	1283	1206	1328
transcript:EMLSAT00000000336	1387	1318	1922	2445	1917	2104	1731	1961
transcript:EMLSAT00000000337	516	368	875	760	718	867	804	742
transcript:EMLSAT00000000338	15	12	29	13	15	30	29	16
transcript:ENSRNA022738420-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000339	366	145	510	609	552	610	503	515
transcript:EMLSAT00000000340	3326	3045	3043	2889	2854	2510	2354	2554
transcript:EMLSAT00000000341	2014	1896	1698	1237	2191	1428	1340	1363
transcript:EMLSAT00000000342	1413	1463	1127	784	1340	969	953	832
transcript:EMLSAT00000000343	1491	1386	1665	1180	1853	1318	1257	1141
transcript:EMLSAT00000000344	583	674	573	544	575	524	449	541
transcript:EMLSAT00000000345	723	844	614	549	777	484	448	563
transcript:EMLSAT00000000346	8555	6892	10115	9177	10095	9885	8442	8406
transcript:EMLSAT00000000347	2868	5542	4758	4304	3252	5393	6487	4659
transcript:EMLSAT00000000348	843	876	738	1037	1230	1841	1068	862
transcript:EMLSAT00000000349	7969	7123	8365	6847	9590	7638	6194	7090
transcript:EMLSAT00000000350	7510	6584	8012	6521	9257	7338	5956	6808
transcript:EMLSAT00000000351	1269	1158	1669	1211	1571	1388	1483	1564
transcript:EMLSAT00000000266	0	2	3	10	2	10	0	6
transcript:EMLSAT00000000267	3	0	0	4	10	8	0	6
transcript:EMLSAT00000000268	0	0	0	0	0	0	0	0
transcript:EMLSAT00000000269	4	4	8	6	14	12	2	4
transcript:EMLSAT00000000270	1717	1676	1994	2014	1781	1597	1410	1636
transcript:EMLSAT00000000271	732	729	840	937	919	989	830	872
transcript:EMLSAT00000000272	892	892	874	852	813	877	765	811
transcript:EMLSAT00000000273	576	425	629	798	652	692	650	594
transcript:EMLSAT00000000274	747	451	790	715	728	661	708	646
transcript:EMLSAT00000000275	641	342	845	775	1015	713	661	630
transcript:EMLSAT00000000276	1425	1421	1366	1169	1785	1072	1021	1221
transcript:EMLSAT00000000277	663	568	806	637	776	615	690	710
transcript:EMLSAT00000000278	4016	3167	4413	3194	6165	3056	3322	4168
transcript:EMLSAT00000000287	152	195	387	275	320	397	326	396
transcript:EMLSAT00000000281	82	139	178	91	151	175	226	222
transcript:EMLSAT00000000282	39	13	124	71	74	108	134	153
transcript:EMLSAT00000000283	54	8	184	104	155	178	157	218
transcript:EMLSAT00000000284	110	16	275	196	234	215	247	277
transcript:EMLSAT00000000285	45	27	90	56	59	75	87	86
transcript:EMLSAT00000000286	8776	7520	10649	11680	10118	11593	10574	10939
transcript:EMLSAT00000000288	0	0	0	0	0	0	4	0
transcript:EMLSAT00000000289	179	186	172	155	124	124	120	144
transcript:EMLSAT00000000290	2641	3065	2932	3012	2674	2623	2611	2530
transcript:EMLSAT00000000291	2365	2887	2587	2669	2307	2271	2297	2146
transcript:EMLSAT00000000279	877	684	1240	1213	1507	1398	1144	1305
transcript:EMLSAT00000000280	4173	3928	4169	4324	3991	4544	3357	3301
transcript:EMLSAT00000000301	40	35	64	18	80	60	50	88
transcript:EMLSAT00000000304	26	16	40	22	29	63	49	48
transcript:EMLSAT00000000305	28	9	76	66	45	68	87	69
